Price,Close,High,Low,Open,Volume
Ticker,199430.KQ,199430.KQ,199430.KQ,199430.KQ,199430.KQ
Date,,,,,
2024-10-17,8170.0,8330.0,8130.0,8230.0,25765
2024-10-18,8000.0,8220.0,7950.0,8190.0,32262
2024-10-21,7960.0,8200.0,7930.0,7930.0,28379
2024-10-22,7540.0,7960.0,7540.0,7890.0,45432
2024-10-23,7730.0,7750.0,7440.0,7520.0,23213
2024-10-24,7360.0,7630.0,7350.0,7630.0,34259
2024-10-25,7150.0,7450.0,7110.0,7300.0,26644
2024-10-28,7380.0,7440.0,7110.0,7110.0,17012
2024-10-29,7330.0,7390.0,7180.0,7340.0,28863
2024-10-30,7310.0,7500.0,7260.0,7350.0,12581
2024-10-31,7480.0,7530.0,7120.0,7140.0,22554
2024-11-01,7230.0,7480.0,7170.0,7320.0,25166
2024-11-04,7380.0,7540.0,7160.0,7160.0,18312
2024-11-05,7810.0,8040.0,7320.0,7380.0,51677
2024-11-06,7630.0,8590.0,7630.0,7810.0,180677
2024-11-07,7840.0,8240.0,7530.0,7700.0,86940
2024-11-08,7950.0,8010.0,7720.0,7750.0,37206
2024-11-11,8140.0,9120.0,7930.0,7930.0,680660
2024-11-12,7370.0,8900.0,7350.0,8310.0,320804
2024-11-13,7460.0,7900.0,7170.0,7190.0,104165
2024-11-14,7110.0,7730.0,7110.0,7470.0,70031
2024-11-15,7140.0,7150.0,6600.0,6970.0,89769
2024-11-18,7270.0,7350.0,6980.0,6980.0,38425
2024-11-19,7200.0,7620.0,7110.0,7200.0,54272
2024-11-20,7280.0,7580.0,7220.0,7420.0,31776
2024-11-21,6930.0,7350.0,6920.0,7280.0,60709
2024-11-22,7000.0,7300.0,6940.0,6940.0,36264
2024-11-25,7200.0,7330.0,7010.0,7010.0,36808
2024-11-26,7200.0,7340.0,7090.0,7340.0,18318
2024-11-27,7420.0,7490.0,7010.0,7230.0,72379
2024-11-28,7050.0,7550.0,6960.0,7460.0,114591
2024-11-29,6830.0,7100.0,6820.0,7100.0,49833
2024-12-02,6610.0,7380.0,6600.0,7010.0,163875
2024-12-03,6650.0,6800.0,6550.0,6550.0,30536
2024-12-04,6380.0,6590.0,6200.0,6550.0,69311
2024-12-05,6180.0,6500.0,6100.0,6390.0,28048
2024-12-06,6050.0,6250.0,5880.0,6120.0,69987
2024-12-09,5420.0,5900.0,5350.0,5750.0,68245
2024-12-10,5890.0,5900.0,5400.0,5400.0,42916
2024-12-11,6170.0,6240.0,5750.0,5750.0,50147
2024-12-12,6180.0,6300.0,6060.0,6260.0,21533
2024-12-13,6270.0,6570.0,6050.0,6050.0,50442
2024-12-16,6330.0,6460.0,6100.0,6280.0,32031
2024-12-17,6340.0,6510.0,6220.0,6330.0,30462
2024-12-18,6400.0,6550.0,6270.0,6420.0,34190
2024-12-19,6190.0,6350.0,6190.0,6300.0,32613
2024-12-20,6060.0,6310.0,6000.0,6190.0,40726
2024-12-23,6270.0,6310.0,6060.0,6060.0,19335
2024-12-24,6150.0,6480.0,6150.0,6300.0,102673
2024-12-26,6430.0,6950.0,6180.0,6180.0,226985
2024-12-27,6230.0,6580.0,6040.0,6580.0,66460
2024-12-30,6800.0,6880.0,6150.0,6290.0,191277
2025-01-02,8500.0,8840.0,7120.0,7270.0,1880772
2025-01-03,9080.0,9340.0,8190.0,8410.0,1805612
2025-01-06,8690.0,9250.0,8660.0,9250.0,548438
2025-01-07,9270.0,10940.0,8890.0,8890.0,8275261
2025-01-08,8490.0,9340.0,8490.0,9140.0,559454
2025-01-09,10610.0,11030.0,7960.0,8490.0,9601086
2025-01-10,9920.0,10150.0,9920.0,10060.0,628249
2025-01-13,10210.0,10320.0,10040.0,10040.0,307668
2025-01-14,10850.0,10950.0,10200.0,10200.0,560634
2025-01-15,9720.0,10850.0,9570.0,10680.0,856618
2025-01-16,10870.0,10870.0,10050.0,10150.0,1117795
2025-01-17,10470.0,10840.0,10180.0,10820.0,500369
2025-01-20,9950.0,10600.0,9790.0,10560.0,467254
2025-01-21,9880.0,10420.0,9710.0,10100.0,373425
2025-01-22,9850.0,10340.0,9700.0,10300.0,362644
2025-01-23,9470.0,9910.0,9470.0,9850.0,146005
2025-01-24,10110.0,10280.0,9280.0,9420.0,483681
2025-01-31,10610.0,10810.0,9620.0,9940.0,717496
2025-02-03,10020.0,10710.0,9900.0,10220.0,372690
2025-02-04,10120.0,10430.0,9820.0,10160.0,359460
2025-02-05,11610.0,11610.0,10150.0,10280.0,2072517
2025-02-06,11180.0,12000.0,10880.0,12000.0,1247153
2025-02-07,11410.0,11940.0,11100.0,11180.0,840398
2025-02-10,12350.0,13050.0,11020.0,11800.0,2173441
2025-02-11,11440.0,12100.0,11440.0,12100.0,559388
2025-02-12,10700.0,11700.0,10700.0,11450.0,352726
2025-02-13,10670.0,10870.0,10360.0,10600.0,242247
2025-02-14,10710.0,11030.0,10590.0,10660.0,222636
2025-02-17,11600.0,11600.0,10720.0,10890.0,479832
2025-02-18,11730.0,12440.0,11230.0,11790.0,989849
2025-02-19,11600.0,12280.0,11370.0,12040.0,338326
2025-02-20,10830.0,11900.0,10440.0,11540.0,310450
2025-02-21,10470.0,10960.0,10370.0,10780.0,187933
2025-02-24,10150.0,10300.0,9900.0,10150.0,122216
2025-02-25,10080.0,10400.0,9830.0,10040.0,109260
2025-02-26,9950.0,10240.0,9880.0,9910.0,107342
2025-02-27,10040.0,10280.0,9900.0,9990.0,72567
2025-02-28,9190.0,9940.0,9110.0,9940.0,160350
2025-03-04,9030.0,9240.0,8740.0,8850.0,78474
2025-03-05,9300.0,9380.0,8970.0,9010.0,75315
2025-03-06,8680.0,9580.0,8560.0,9350.0,138365
2025-03-07,8360.0,8730.0,8220.0,8500.0,95233
2025-03-10,8520.0,8720.0,8340.0,8360.0,57865
2025-03-11,8910.0,8980.0,8020.0,8300.0,133924
2025-03-12,9250.0,9790.0,8990.0,8990.0,327947
2025-03-13,8950.0,9590.0,8950.0,9320.0,75945
2025-03-14,9320.0,9510.0,8970.0,8970.0,87662
2025-03-17,9260.0,9450.0,9150.0,9450.0,62781
2025-03-18,9350.0,9580.0,9130.0,9580.0,101671
2025-03-19,8750.0,9350.0,8720.0,9350.0,147654
2025-03-20,8650.0,8870.0,8590.0,8800.0,60320
2025-03-21,8450.0,8720.0,8330.0,8500.0,43014
2025-03-24,8170.0,8690.0,7980.0,8690.0,47696
2025-03-25,7910.0,8500.0,7910.0,8270.0,91453
2025-03-26,8150.0,8240.0,7910.0,7910.0,43900
2025-03-27,7790.0,8160.0,7730.0,8050.0,75788
2025-03-28,7400.0,7790.0,7400.0,7790.0,47144
2025-03-31,7340.0,7530.0,7070.0,7330.0,40591
2025-04-01,7310.0,7550.0,7200.0,7300.0,39378
2025-04-02,7380.0,7680.0,7210.0,7530.0,63686
2025-04-03,7270.0,7520.0,7140.0,7180.0,29724
2025-04-04,7000.0,7400.0,6890.0,7210.0,77018
2025-04-07,6530.0,6990.0,6430.0,6990.0,55040
2025-04-08,6520.0,6870.0,6470.0,6600.0,53614
2025-04-09,6230.0,6680.0,6190.0,6410.0,56979
2025-04-10,6950.0,7100.0,6560.0,6600.0,69997
2025-04-11,7320.0,7350.0,6840.0,6950.0,56437
2025-04-14,7400.0,7580.0,7270.0,7400.0,59043
2025-04-15,7640.0,7750.0,7400.0,7450.0,72312
2025-04-16,7330.0,7980.0,7320.0,7980.0,58933
2025-04-17,7520.0,7600.0,7220.0,7320.0,31549
2025-04-18,7470.0,7550.0,7330.0,7520.0,17243
2025-04-21,7480.0,7610.0,7350.0,7470.0,15649
2025-04-22,7800.0,7940.0,7320.0,7380.0,77564
2025-04-23,7720.0,7990.0,7640.0,7940.0,25502
2025-04-24,7600.0,7920.0,7590.0,7730.0,21394
2025-04-25,7770.0,8050.0,7600.0,7600.0,39940
2025-04-28,7500.0,7840.0,7450.0,7770.0,25835
2025-04-29,7740.0,7860.0,7400.0,7500.0,19492
2025-04-30,7510.0,7740.0,7500.0,7740.0,16639
2025-05-02,7380.0,7550.0,7350.0,7510.0,17803
2025-05-07,7520.0,7560.0,7290.0,7380.0,24685
2025-05-08,7610.0,7750.0,7480.0,7530.0,36670
2025-05-09,7460.0,7590.0,7300.0,7490.0,30375
2025-05-12,7550.0,7600.0,7400.0,7460.0,38745
2025-05-13,7700.0,7970.0,7550.0,7550.0,71449
2025-05-14,7940.0,8000.0,7700.0,7920.0,51866
2025-05-15,7670.0,8140.0,7630.0,8140.0,46548
2025-05-16,7500.0,7890.0,7350.0,7840.0,43249
2025-05-19,7100.0,7500.0,7060.0,7500.0,42155
2025-05-20,7110.0,7300.0,7110.0,7110.0,18142
2025-05-21,7020.0,7220.0,7010.0,7110.0,29493
2025-05-22,6800.0,7070.0,6440.0,7040.0,74446
2025-05-23,6800.0,6950.0,6610.0,6820.0,19104
2025-05-26,7140.0,7180.0,6610.0,6800.0,38405
2025-05-27,6930.0,7140.0,6860.0,7140.0,24318
2025-05-28,6940.0,7140.0,6760.0,7050.0,22215
2025-05-29,7000.0,7190.0,6920.0,6970.0,22972
2025-05-30,7010.0,7100.0,6830.0,7100.0,17919
2025-06-02,6930.0,7180.0,6880.0,7100.0,21321
2025-06-04,7410.0,7410.0,7000.0,7000.0,60913
2025-06-05,7450.0,7470.0,7240.0,7340.0,27899
2025-06-09,7280.0,7680.0,7240.0,7680.0,23089
2025-06-10,7280.0,7480.0,7190.0,7280.0,25913
2025-06-11,7290.0,7360.0,7260.0,7280.0,23148
2025-06-12,7350.0,7490.0,7190.0,7250.0,39642
2025-06-13,6950.0,7310.0,6880.0,7290.0,65607
2025-06-16,6910.0,7010.0,6800.0,6940.0,39073
2025-06-17,6870.0,7070.0,6800.0,6910.0,48507
2025-06-18,6880.0,6930.0,6700.0,6900.0,35919
2025-06-19,7240.0,7430.0,6820.0,6930.0,64161
2025-06-20,8190.0,9410.0,7220.0,7250.0,3147761
2025-06-23,9890.0,10190.0,8250.0,8270.0,4988046
2025-06-24,9910.0,11100.0,9790.0,10270.0,1608736
2025-06-25,9930.0,10160.0,9560.0,10080.0,541462
2025-06-26,9300.0,9990.0,9090.0,9930.0,368058
2025-06-27,9240.0,11150.0,9070.0,10000.0,4320104
2025-06-30,9870.0,10500.0,9600.0,9600.0,1134865
2025-07-01,11510.0,12820.0,9990.0,10190.0,6790274
2025-07-02,11080.0,11510.0,10900.0,11510.0,390569
2025-07-03,11810.0,11880.0,11190.0,11190.0,381235
2025-07-04,11360.0,12140.0,11360.0,12030.0,282116
2025-07-07,10590.0,11970.0,10500.0,11380.0,663669
2025-07-08,10300.0,10800.0,10070.0,10700.0,341411
2025-07-09,10700.0,10920.0,10060.0,10280.0,430562
2025-07-10,10310.0,10690.0,10230.0,10690.0,268860
2025-07-11,10070.0,10370.0,10030.0,10330.0,195315
2025-07-14,9830.0,10190.0,9750.0,10080.0,174292
2025-07-15,12190.0,12300.0,9720.0,9830.0,1925025
2025-07-16,12810.0,13840.0,11860.0,12260.0,4152433
2025-07-17,12610.0,13440.0,12410.0,12780.0,1195407
2025-07-18,12390.0,12750.0,12220.0,12620.0,475603
2025-07-21,12740.0,13370.0,12420.0,12490.0,1288985
2025-07-22,11700.0,12870.0,11570.0,12840.0,774183
2025-07-23,11380.0,11700.0,11230.0,11500.0,339272
2025-07-24,10950.0,11690.0,10910.0,11610.0,364492
2025-07-25,11070.0,11450.0,10670.0,11000.0,334507
2025-07-28,10550.0,11070.0,10410.0,11070.0,284751
2025-07-29,11160.0,12220.0,10480.0,10550.0,1390391
2025-07-30,10650.0,11300.0,10620.0,11170.0,349723
2025-07-31,10720.0,10970.0,10600.0,10760.0,180331
2025-08-01,10130.0,10730.0,10030.0,10720.0,213038
2025-08-04,11210.0,11470.0,10170.0,10170.0,658322
2025-08-05,11170.0,11500.0,11080.0,11230.0,230273
2025-08-06,10950.0,11300.0,10870.0,11170.0,201088
2025-08-07,11160.0,11430.0,10600.0,10900.0,325613
2025-08-08,10950.0,11230.0,10900.0,11160.0,144444
2025-08-11,10600.0,10940.0,10520.0,10880.0,186693
2025-08-12,10380.0,11120.0,10360.0,10640.0,252496
2025-08-13,10280.0,10530.0,10030.0,10400.0,121823
2025-08-14,10140.0,10510.0,10040.0,10190.0,138970
2025-08-18,10120.0,10250.0,9770.0,10070.0,105906
2025-08-19,9780.0,10200.0,9770.0,10120.0,121985
2025-08-20,9130.0,9600.0,9000.0,9280.0,186502
2025-08-21,9270.0,9520.0,9010.0,9200.0,92030
2025-08-22,9740.0,9950.0,9280.0,9280.0,213180
2025-08-25,11030.0,11250.0,9800.0,9890.0,1171669
2025-08-26,10680.0,11110.0,10620.0,11010.0,488902
2025-08-27,10190.0,10740.0,10180.0,10730.0,228559
2025-08-28,10190.0,10600.0,10060.0,10400.0,259174
2025-08-29,10190.0,10380.0,10090.0,10220.0,151734
2025-09-01,13240.0,13240.0,10430.0,10750.0,5501375
2025-09-02,13240.0,14100.0,12610.0,13910.0,4529849
2025-09-03,12730.0,13310.0,12480.0,13240.0,1037677
2025-09-04,13140.0,13140.0,12520.0,12670.0,1169000
2025-09-05,13020.0,13250.0,12640.0,13200.0,946171
2025-09-08,12880.0,13490.0,12770.0,13310.0,812421
2025-09-09,13820.0,13940.0,12850.0,13040.0,3202587
2025-09-10,13860.0,15400.0,13700.0,14700.0,2692949
2025-09-11,13710.0,14230.0,13500.0,13860.0,850252
2025-09-12,14150.0,14400.0,13520.0,13850.0,961236
2025-09-15,14680.0,14720.0,14020.0,14500.0,1236241
2025-09-16,13710.0,15150.0,13600.0,15100.0,886666
2025-09-17,13120.0,14190.0,13070.0,13720.0,596090
2025-09-18,13680.0,13800.0,13230.0,13380.0,449416
2025-09-19,13650.0,13960.0,13070.0,13510.0,569815
2025-09-22,13350.0,13980.0,13320.0,13800.0,342700
2025-09-23,13100.0,13380.0,13050.0,13350.0,244086
2025-09-24,12820.0,13810.0,12780.0,12900.0,398922
2025-09-25,12780.0,13520.0,12620.0,13330.0,336293
2025-09-26,12280.0,13080.0,12200.0,12780.0,316144
2025-09-29,14880.0,15900.0,13100.0,13200.0,5226220
2025-09-30,14920.0,15440.0,14530.0,15200.0,1428612
2025-10-01,13950.0,14970.0,13920.0,14920.0,755228
2025-10-02,13750.0,14180.0,13700.0,14080.0,441704
2025-10-10,16080.0,16940.0,13470.0,13850.0,3281657
2025-10-13,19120.0,19890.0,15710.0,15780.0,4913613
2025-10-14,18260.0,20000.0,17260.0,19850.0,2207535
2025-10-15,23700.0,23700.0,18300.0,18810.0,7127012
2025-10-16,23050.0,24250.0,21000.0,23300.0,2838931
2025-10-17,23650.0,24450.0,21500.0,22200.0,2406490
