종목코드,회사명
317450.KS,명인제약
0072Z0.KS,KB제33호스팩
0071M0.KS,삼성스팩11호
488280.KS,에스투더블유
342870.KS,오아
496320.KS,본시스템즈
318060.KS,그래피
397810.KS,애드포러스
0044K0.KS,삼성스팩10호
0010V0.KS,제이피아이헬스케어
125490.KS,한라캐스트
0008Z0.KS,에스엔시스
484590.KS,삼양컴텍
0041B0.KS,교보18호스팩
456160.KS,지투지바이오
309710.KS,아이티켐
0041L0.KS,하나35호스팩
439260.KS,대한조선
468530.KS,프로티나
475230.KS,엔알비
380550.KS,뉴로핏
484120.KS,도우인시스
0004Y0.KS,디비금융제14호스팩
0041J0.KS,엘에스스팩1호
331740.KS,아우토크립트
0030R0.KS,대신밸류리츠
462310.KS,뉴키즈온
234030.KS,싸이닉솔루션
0037T0.KS,KB제32호스팩
463020.KS,뉴엔AI
388610.KS,지에프씨생명과학
455180.KS,케이지에이
340450.KS,지씨지놈
474650.KS,링크솔루션
475430.KS,키스트론
496070.KS,신한제16호스팩
287840.KS,인투셀
483650.KS,달바글로벌
489460.KS,바이오비쥬
424870.KS,이뮨온시아
188040.KS,바이오포트
125020.KS,티씨머티리얼즈
376900.KS,로킷헬스케어
476040.KS,오가노이드사이언스
136150.KS,원일티엔아이
459510.KS,나우로보틱스
364950.KS,에이아이코리아
081180.KS,쎄크
448900.KS,한국피아이엠
481070.KS,에이유브랜즈
101970.KS,우양에이치씨
462860.KS,더즌
444530.KS,심플랫폼
484810.KS,티엑스알로보틱스
098070.KS,한텍
498390.KS,한화플러스제5호스팩
480370.KS,씨케이솔루션
031210.KS,서울보증보험
460870.KS,에스엠씨지
226590.KS,엠디바이스
393970.KS,대진첨단소재
435570.KS,에르코스
489500.KS,엘케이켐
479960.KS,위너스
463480.KS,모티브링크
303810.KS,동국생명과학
475830.KS,오름테라퓨틱
240550.KS,동방메디컬
212710.KS,아이에스티이
064400.KS,LG씨엔에스
462980.KS,아이지넷
452450.KS,피아이이
482630.KS,삼양엔씨켐
373160.KS,데이원컴퍼니
450950.KS,아스테라시스
096250.KS,와이즈넛
475460.KS,미트박스
493790.KS,유안타제17호스팩
478560.KS,블랙야크아이앤씨
332190.KS,오션스바이오
432980.KS,엠에프씨
387570.KS,파인메딕스
177900.KS,쓰리에이로직스
499790.KS,GS피앤엘
487360.KS,신한제14호스팩
495810.KS,유비씨
368030.KS,창대정밀
176750.KS,듀켐바이오
